pipeline_id,length_km,diameters_mm,age_years,material,location,repair_type,repair_duration_hours,pressure,temperature,flow_rate,corrosion_level,deformation_level,leak_detection,pipeline_status
35,96.59757127,249.6297973,39,Cast Iron,Urban,Replacement,62,5.583468626,36.6797086,85.2596578,0,2,0,0
36,81.03133746,441.7636643,8,Cast Iron,Urban,0ne,45,4.753359631,7.103672838,7.657564444,2,1,1,1
37,31.15676315,655.4748044,8,Cast Iron,Suburban,Replacement,16,9.95404774,21.44367351,11.49436948,0,1,1,0
38,10.66953929,972.8369782,34,Steel,Urban,Repair,64,2.328763851,-9.395812724,56.99512344,1,1,0,0
39,68.73906962,754.8680239,16,Steel,Suburban,0ne,37,6.334551813,25.55634608,22.60297424,4,0,0,0
40,44.57509688,930.3433814,41,PVC,Suburban,Replacement,25,8.972767235,20.15341314,61.56999415,1,3,1,1
41,13.08178525,785.9908525,13,Steel,Suburban,Repair,9,7.184935371,25.76973733,22.2398387,4,4,1,1
42,50.0225141,632.545272,23,HDPE,Rural,0ne,55,8.928309692,35.23303065,12.53171546,2,2,0,0
43,4.40446359,272.8210322,12,HDPE,Suburban,Replacement,28,4.027012483,-2.675053344,55.01192323,3,4,0,1
44,91.02271981,700.0170867,27,PVC,Rural,Replacement,9,3.447936786,3.0794798,86.35731867,2,3,0,1
45,26.61921818,661.0416094,22,PVC,Suburban,Repair,12,8.661451482,39.78904461,68.82707524,3,0,1,1
46,66.58970615,642.2222534,32,Cast Iron,Rural,0ne,18,4.547031186,-2.185802075,82.05378862,4,0,0,0
47,31.85939653,540.8072812,49,Steel,Rural,0ne,91,7.387140908,26.03135033,27.36718226,3,3,0,1
48,52.4867341,575.7909436,27,Cast Iron,Urban,0ne,90,2.329737206,26.25379553,88.71188648,4,2,0,1
49,55.12431765,400.9982744,2,Steel,Suburban,Replacement,56,7.802543128,24.14968731,38.32687828,3,3,1,1
50,19.3005911,567.3814234,45,Steel,Rural,0ne,90,5.940843841,1.372029466,85.39231912,4,0,1,1
51,96.98887815,277.8003151,33,PVC,Urban,Replacement,74,3.417504759,0.756703161,47.64638342,3,0,1,1
52,77.73814951,824.6569576,26,Cast Iron,Suburban,Replacement,58,5.450535676,23.3170534,27.51790709,4,4,1,1
53,94.01039521,267.1992592,28,Cast Iron,Urban,Repair,81,7.272492633,-0.687490777,26.76562427,1,2,1,0
54,89.58790769,176.4696609,19,Steel,Rural,Replacement,51,1.10697768,23.07816659,57.19912055,0,2,0,0
55,60.1920979,492.6214237,43,Steel,Urban,Repair,32,6.737203529,14.6264141,8.82201675,1,0,1,0
56,92.26554927,692.4766956,5,PVC,Urban,Repair,88,5.874317004,9.331443382,93.07556326,2,3,0,0
57,9.760757703,493.9451424,33,HDPE,Suburban,0ne,48,2.98257551,5.011617469,27.87488607,3,0,1,0
58,20.40230338,349.0787188,20,Cast Iron,Rural,Repair,8,7.776829666,37.37884667,34.22685697,4,4,1,1
59,5.477501602,602.3540655,30,Cast Iron,Suburban,0ne,30,3.731148862,15.40468289,24.09685382,1,3,1,1
60,33.20770275,412.3021019,45,PVC,Suburban,Repair,26,3.491748384,18.06259813,1.297788096,1,0,0,1
61,39.47905168,939.5809211,8,PVC,Urban,Replacement,24,5.240965141,37.46280423,69.56247344,4,2,1,1
62,27.86355415,930.3806256,38,Cast Iron,Rural,0ne,27,7.085347106,22.6938659,59.4647372,3,4,0,1
63,83.04501341,552.134638,17,Cast Iron,Suburban,Replacement,79,9.359613783,37.89264639,81.15480948,2,0,0,1
64,36.31857934,395.0955946,44,Steel,Rural,0ne,92,2.272215188,-4.681662974,5.060066572,2,0,1,1
65,28.81251646,763.4191726,1,HDPE,Suburban,Replacement,75,4.568213087,32.33198159,92.93690883,2,1,0,1
66,54.72691223,133.0416491,3,Cast Iron,Urban,Repair,39,1.602906333,6.770731401,33.75780707,4,3,0,0
67,14.95149827,527.2921054,46,PVC,Suburban,0ne,66,7.826956727,30.52437625,91.39391639,1,1,1,1
68,80.41750109,402.6910548,26,Steel,Suburban,0ne,51,5.029596007,32.78183121,11.60601672,2,2,0,0
69,8.380513724,928.4822966,31,Steel,Suburban,0ne,73,7.362362217,3.574394307,74.64813757,1,3,1,0
70,98.70180672,110.8027245,8,PVC,Rural,Repair,50,3.899749816,10.44153083,58.35646491,2,4,1,1
71,77.45223216,597.5333881,43,PVC,Urban,Replacement,45,8.598855173,26.30071772,36.46093031,2,3,0,1
72,20.67285247,766.597223,46,Steel,Rural,Repair,87,5.813452704,-5.047218455,8.835097197,3,0,0,0
73,1.546689595,536.5161888,8,PVC,Suburban,Repair,33,9.492470396,27.77667672,60.86891447,4,0,0,1
74,81.73068142,176.8627271,35,Steel,Urban,Repair,19,1.709331752,-4.476353697,3.617548424,3,0,0,0
75,70.97887704,975.215251,39,PVC,Rural,Replacement,13,5.628491421,35.72278661,50.62692782,1,3,1,0
76,73.17170964,566.2093882,28,Steel,Suburban,Repair,78,7.898097214,3.816964665,60.816649,1,0,1,1
77,77.35576432,652.7676199,4,Cast Iron,Urban,0ne,96,6.401373833,18.77996734,73.51985098,4,0,0,0
78,8.330420522,312.9488044,16,Cast Iron,Urban,Repair,22,1.208747264,-4.142324996,99.14212879,2,1,1,1
79,36.48810713,535.1482766,13,PVC,Suburban,Replacement,20,9.751048105,3.474657733,26.74927764,4,0,0,1
80,12.47103689,486.2345428,20,HDPE,Urban,0ne,97,3.684373238,10.19775217,32.91659232,2,1,1,0
81,86.44723916,167.4062578,5,Cast Iron,Urban,Replacement,5,3.243500797,14.35244383,34.77338933,0,2,0,1
82,62.70651456,195.5443182,37,Steel,Rural,Repair,84,5.37093888,-9.996625118,73.42668847,0,3,0,0
83,33.75890446,853.7252677,20,HDPE,Urban,Replacement,78,5.879422968,34.43278812,93.25010756,4,1,0,0
84,7.292276678,315.837957,24,Steel,Rural,0ne,91,7.896593238,-9.616259522,97.45805121,0,3,0,0
85,31.78724985,275.4624443,36,Steel,Rural,Replacement,90,4.539462919,28.68422815,94.63532529,0,3,1,1
86,33.19314888,554.4203061,34,Cast Iron,Rural,0ne,32,4.959643388,13.52894562,88.05891776,1,4,1,1
87,73.23101166,791.8724182,45,PVC,Rural,0ne,30,5.814639243,16.19400125,99.10676001,2,1,0,1
88,64.11818966,155.7518667,48,PVC,Urban,Repair,91,4.549483898,0.413273967,38.21862696,0,0,0,1
89,88.83406152,619.1271277,34,Steel,Urban,Repair,26,9.230932712,20.36841752,94.88381068,3,4,1,1
90,47.74927759,207.2893986,19,Cast Iron,Rural,0ne,82,8.6612677,16.86159546,76.34097628,1,1,0,1
91,12.83983035,132.8149457,17,Steel,Urban,Replacement,87,5.094763256,-1.788179669,17.67752609,2,1,1,1
92,71.61123394,147.4695569,5,HDPE,Rural,0ne,88,1.001753761,1.905950067,5.5010536,1,2,0,1
93,76.31771981,850.7476974,25,Steel,Rural,Repair,4,9.10841046,-6.654818549,22.23391183,3,0,0,1
94,56.56644256,206.1752353,18,Cast Iron,Rural,Replacement,67,2.119029161,-6.685821396,78.0963613,2,2,1,1
95,77.32575082,140.636228,8,Steel,Suburban,0ne,43,3.200611737,-9.311210702,63.53799124,4,3,1,1
96,49.88576404,494.1098984,27,Cast Iron,Urban,Repair,30,2.371251559,1.023716274,23.21126948,4,0,1,0
97,52.75055011,859.5941247,15,PVC,Urban,0ne,16,2.61834013,23.98306137,74.45022399,1,2,1,0
98,43.32656082,336.1675388,45,Cast Iron,Rural,0ne,71,8.225897841,5.810769407,14.9909017,4,2,0,0
99,3.516493548,479.5413558,13,HDPE,Urban,0ne,39,6.215512975,7.136713493,82.36229799,2,0,0,0
100,11.68125127,135.9302793,16,Cast Iron,Rural,Replacement,86,9.604856468,-3.404730337,79.62193662,3,1,1,1
101,4.111489383,504.1706627,22,HDPE,Urban,Repair,41,3.083081611,18.77353338,97.2850211,3,3,1,1
102,64.00463072,619.8517726,20,HDPE,Rural,Repair,31,5.370714173,7.107182077,15.8776769,4,4,0,0
103,32.12124213,613.8163484,13,Steel,Rural,0ne,49,9.796855322,23.81584017,90.75468645,0,4,0,1
104,51.34849843,399.184023,20,HDPE,Suburban,0ne,13,8.437991628,27.07297344,34.76916371,0,4,0,0
105,90.84908092,383.9798626,2,Cast Iron,Rural,0ne,41,7.557541112,19.23464376,42.18992661,0,3,1,1
106,25.67993069,195.961257,35,PVC,Suburban,Replacement,93,2.700776812,3.803476841,47.37606123,4,0,1,1
107,41.62790938,430.1184886,47,Cast Iron,Urban,Repair,28,7.924648608,15.43038997,63.06350127,4,0,0,1
108,75.79956272,189.545202,19,PVC,Urban,0ne,64,4.128086103,2.596540234,99.48157364,4,0,1,1
109,23.65101838,789.9363502,45,HDPE,Suburban,Repair,19,5.774832073,35.14564177,60.3959215,2,4,0,1
110,8.621011073,969.646868,37,Steel,Urban,0ne,87,6.482450917,28.3192875,92.74487064,0,1,0,1
111,29.68539384,973.067011,6,HDPE,Suburban,Repair,72,6.484273404,14.6502953,26.24779201,1,2,1,1
112,16.96090744,878.5639894,14,HDPE,Urban,0ne,25,7.538711247,38.27285716,40.44275452,2,4,0,1
113,93.04006758,640.7129344,4,PVC,Suburban,Replacement,38,6.955318834,17.33777234,50.94545341,2,3,1,0
114,81.00391758,730.7791275,22,Cast Iron,Suburban,0ne,99,1.615337914,6.426773848,32.96729699,4,0,0,1
115,63.70697189,356.6852224,39,Steel,Rural,0ne,90,5.116123234,-5.22663496,97.70984319,4,2,0,1
116,87.27459843,667.6933782,36,Steel,Urban,0ne,3,6.97619446,17.18728224,72.84267184,2,0,1,1
117,80.56353561,510.0845945,34,Steel,Rural,0ne,2,3.663936839,33.02083058,48.40925387,4,0,0,1
118,19.47043583,533.8156058,27,Steel,Suburban,0ne,5,3.817510185,33.33593641,75.37916542,0,0,0,1
119,89.36334085,781.9989043,7,Cast Iron,Rural,Repair,61,2.12110793,20.22835333,47.27680741,2,1,0,0
120,54.39488195,353.72652,3,Steel,Suburban,Repair,20,4.767534874,9.671918162,2.705307409,2,2,0,1
121,80.93657536,386.2356505,47,PVC,Urban,Replacement,76,9.881473909,22.5148154,54.77614737,2,4,0,0
122,89.71303869,932.177612,33,PVC,Urban,0ne,38,3.567874252,28.10701773,62.89333666,4,1,0,1
123,32.48234402,150.6018654,2,Steel,Urban,Repair,80,5.782932034,10.58123922,98.13953445,2,3,0,1
124,11.89514053,537.0708686,42,Steel,Suburban,Repair,36,7.689135275,13.81270846,5.038491978,1,3,1,1
125,23.56558109,921.5207204,16,Cast Iron,Rural,0ne,46,1.121475438,24.03081537,51.69759879,1,4,0,1
126,43.28367107,649.326707,25,Cast Iron,Urban,0ne,93,9.103956036,33.83263031,10.71732091,0,2,1,1
127,81.98346183,591.7663668,15,Steel,Suburban,Replacement,99,4.478951663,29.55051891,15.75059426,2,4,0,0
128,86.21232774,324.7697613,24,Cast Iron,Rural,Replacement,37,8.82204388,-8.880431534,61.43587056,2,1,1,0
129,1.688260923,408.9479402,15,HDPE,Suburban,Repair,54,1.35052893,-3.781382811,23.92520351,4,2,0,1
130,51.56398296,866.8435742,31,Steel,Suburban,Replacement,21,2.310971967,32.63890901,75.16823702,3,3,1,1
131,42.32368931,603.2963186,14,Cast Iron,Urban,Repair,21,3.90276509,31.6911414,51.90567057,3,2,0,0
132,22.98867324,563.2679744,14,PVC,Suburban,Replacement,92,4.109155958,9.440339157,22.60307563,2,2,1,0
133,12.86667137,189.6217422,6,Steel,Suburban,0ne,70,8.630148007,19.21389612,49.88537608,0,2,0,1
134,34.42390197,114.4253408,14,Steel,Rural,Replacement,84,1.100810038,35.29224912,1.087290964,1,4,0,1
135,94.34806069,967.3166698,17,PVC,Urban,Repair,60,6.770005988,35.57793405,86.41126432,2,0,0,1
136,32.99709027,439.2875506,18,PVC,Suburban,Replacement,36,2.181811926,29.15464229,2.255159329,2,1,0,1
137,52.36027155,642.8917559,20,Cast Iron,Suburban,Repair,77,8.408940856,0.479446918,1.693979357,0,2,0,1
138,70.59887693,171.7435659,17,PVC,Rural,Repair,11,8.007159394,26.51414037,61.53889037,0,2,0,1
139,36.99933064,714.8028572,16,HDPE,Suburban,Replacement,88,5.499289247,-4.945078383,97.37857165,3,4,0,1
140,97.20642619,939.3100378,40,Steel,Suburban,Replacement,83,2.91418503,34.69692297,85.73741495,2,1,1,1
141,96.2822822,618.0987277,39,HDPE,Suburban,Repair,87,6.710458519,-2.542559821,25.94987235,2,1,1,1
142,25.92644729,213.5037901,32,Cast Iron,Suburban,0ne,31,2.406324859,23.11743201,20.4700143,4,3,0,1
143,50.22760208,623.5493747,44,PVC,Suburban,Replacement,37,2.710214133,20.51216371,62.98510588,1,1,1,0
144,30.78695267,789.7124918,9,Steel,Rural,Repair,60,6.64020912,28.84498279,82.44113696,4,1,1,1
145,29.19920894,465.7748829,27,PVC,Suburban,0ne,61,9.921056015,17.57887512,36.84578842,4,2,0,1
146,4.651807788,891.8539731,46,PVC,Suburban,Repair,67,9.019547535,-7.021671231,43.80310445,1,0,1,1
147,61.34686906,683.814658,33,Cast Iron,Suburban,Replacement,98,6.337966219,25.2923127,12.43346185,2,2,0,1
148,50.7652233,909.3240265,10,Cast Iron,Suburban,Repair,29,5.846830919,9.157727942,16.1298157,3,4,0,1
149,6.096396374,661.1547801,17,Cast Iron,Urban,Repair,67,9.98546392,6.014250061,57.26680791,1,1,0,0
150,28.58599996,218.1591748,49,Cast Iron,Urban,Repair,79,5.926574329,39.58367748,11.16295843,0,0,1,0
151,90.91832271,378.72254,49,Steel,Urban,Replacement,71,4.781048698,19.5199883,21.00256635,2,2,0,0
152,24.71662718,281.6154534,36,HDPE,Urban,0ne,67,9.185999822,25.53595366,24.23302538,1,3,1,0
153,15.34459234,917.9438479,17,HDPE,Rural,0ne,16,3.107658663,16.31630685,44.94852879,1,4,0,1
154,49.45582327,784.3600606,18,Steel,Urban,0ne,45,1.877733913,28.4986323,5.515584448,1,4,0,0
155,98.57939496,708.758532,23,PVC,Rural,0ne,34,6.706810309,27.60363677,50.4773262,3,4,1,1
156,24.96347188,370.8696877,34,Steel,Urban,Replacement,84,1.862646704,22.85730578,92.93876623,4,2,0,1
157,67.54141919,265.6402948,8,HDPE,Rural,Repair,44,4.358336833,39.88715307,3.421902451,4,0,0,1
158,76.40034192,780.8059792,13,HDPE,Urban,0ne,97,4.81219647,12.9896767,63.46750166,1,0,0,0
159,24.52611686,526.7421513,23,Steel,Suburban,0ne,78,5.927842603,25.30961741,83.74839415,1,1,1,1
160,73.09341851,303.2105969,20,Cast Iron,Urban,Replacement,42,9.924935912,29.88889814,31.93362341,4,0,0,0
161,37.41053014,654.9597803,22,PVC,Urban,Repair,35,2.98883551,8.80173548,14.02033596,3,3,1,1
162,63.59827723,136.3004669,47,Steel,Urban,Repair,75,4.381807407,12.85875138,5.290638973,2,4,0,1
163,63.71944137,393.5532287,23,HDPE,Suburban,0ne,84,2.19016112,38.45836332,64.74640288,4,2,1,1
164,54.04169372,521.7012951,41,Cast Iron,Rural,0ne,30,6.468521734,-8.385449144,55.67120364,1,4,1,1
165,9.938687235,233.1625007,35,PVC,Rural,Repair,53,7.549058641,6.764782698,23.70020385,3,4,0,1
166,83.69494706,986.1890298,3,HDPE,Suburban,Replacement,58,5.338691409,14.31064812,83.33011346,3,3,1,0
167,32.75722643,288.1876281,34,PVC,Urban,Repair,28,3.212481415,-9.926750347,73.81512886,1,4,0,0
168,19.46533253,217.317817,33,Cast Iron,Urban,Repair,15,6.587994423,34.95635505,28.36644971,0,4,0,0
169,5.036739014,283.1813865,46,HDPE,Urban,0ne,38,5.85241951,4.312220011,75.58293926,3,3,0,1
170,59.49840138,792.1550198,17,Cast Iron,Rural,Replacement,50,2.540671511,2.885241605,25.25442714,4,3,1,1
171,68.07887182,482.9550933,45,Steel,Rural,Replacement,13,4.651137105,31.01630977,67.85147872,0,0,1,1
172,2.642195064,608.8743458,19,Steel,Suburban,Replacement,35,4.916773825,3.899161425,12.73595907,2,4,1,0
173,51.69721277,118.9082413,30,PVC,Suburban,0ne,24,9.843559784,22.8811297,69.53170687,4,1,0,1
174,23.42308174,130.9881777,23,Cast Iron,Rural,Replacement,65,8.643572489,31.0751572,24.63866748,1,1,0,1
175,64.87210625,501.2429948,15,Cast Iron,Urban,Replacement,88,7.609337094,29.62384239,57.67446607,0,1,0,0
176,18.26227647,834.9897189,14,PVC,Urban,0ne,91,8.99899323,29.09753687,18.07392282,4,3,0,1
177,69.40283607,896.7149908,2,PVC,Urban,Repair,18,7.619359652,-5.568121507,72.87072781,3,4,1,1
178,39.28679928,178.0359108,39,PVC,Urban,Replacement,58,9.130616696,-6.007651621,7.027077865,1,0,1,1
179,93.73626888,584.5267919,49,Steel,Suburban,Repair,26,1.490978034,5.338501787,17.37636089,0,4,1,0
180,14.61457347,921.9067177,18,PVC,Suburban,Replacement,29,5.104595883,-8.20260594,19.22951151,3,1,1,1
181,34.76556875,449.175479,6,Steel,Rural,Repair,72,7.722085017,15.02148683,5.093015,1,2,1,0
182,12.2338786,846.6092483,32,PVC,Suburban,Repair,44,6.249662169,9.739103314,74.7562391,1,1,1,0
183,92.54466821,220.326089,21,Cast Iron,Urban,0ne,90,2.576495477,17.85129563,98.11429797,0,3,1,0
184,87.85659598,941.8550407,40,Cast Iron,Rural,0ne,5,4.064428779,4.939426933,78.06138105,0,4,1,1
185,26.53622114,776.2809858,28,PVC,Suburban,Replacement,33,3.859969375,14.28770015,86.20256425,0,3,0,1
186,66.33842056,947.2009535,27,PVC,Suburban,Replacement,5,3.352122219,6.737238293,1.594758373,4,0,0,0
187,81.90499782,708.9555102,2,Steel,Suburban,0ne,36,4.088219982,-0.239595389,12.66912641,1,4,1,1
188,55.96488035,427.0635388,33,HDPE,Suburban,Replacement,77,5.633679596,22.46833406,56.34301359,2,4,1,1
189,53.43540726,944.3630553,16,Steel,Suburban,Replacement,81,8.693821223,23.67179507,97.80901959,3,4,1,0
190,24.9433768,348.0100987,39,Cast Iron,Urban,0ne,13,7.678293962,31.46158464,66.41058017,0,2,0,1
191,10.21717401,398.9552699,22,PVC,Urban,Repair,25,8.517247336,33.73758916,38.03953268,1,4,1,0
192,89.82436004,730.7275762,43,Cast Iron,Urban,Replacement,58,8.952433701,25.22309522,15.46878124,3,2,1,1
193,90.14138766,788.7846696,47,HDPE,Suburban,0ne,2,4.745354105,24.37490433,16.13073374,2,4,1,1
194,63.67704427,936.4631355,13,Steel,Rural,Replacement,88,4.114236556,-7.166216733,36.91256703,3,1,1,1
195,34.56394931,284.3221682,2,Cast Iron,Urban,Replacement,36,1.518610435,-4.511037927,71.66720954,2,0,1,1
196,35.57174789,818.1982317,14,Steel,Urban,0ne,25,9.374424597,30.62813552,4.150109811,0,4,1,0
197,72.86961221,764.6914481,38,PVC,Suburban,0ne,34,1.592407161,1.647563081,85.36558155,4,3,0,0
198,89.81391574,157.4151006,41,Cast Iron,Rural,Replacement,12,7.670219638,7.778253011,94.21359213,2,1,0,1
199,88.821556,448.5008271,28,HDPE,Urban,Replacement,19,4.40297474,-2.735132316,88.99282959,0,3,0,1
200,78.20767904,354.4889114,7,Steel,Urban,Repair,94,9.53902697,-0.242401571,91.38966403,3,3,0,1
201,64.56113297,374.0413819,18,Steel,Rural,Repair,37,4.776418188,28.77086177,2.518588662,3,2,0,1
202,9.329856535,984.6521916,41,HDPE,Suburban,0ne,1,8.349475162,3.092980976,97.80143928,3,0,0,0
203,17.0012427,678.4996721,36,Cast Iron,Rural,Replacement,60,3.543893489,12.45174831,37.26935437,4,3,1,0
204,89.95686466,745.908542,41,Cast Iron,Suburban,0ne,67,3.691798455,-2.416431347,87.05883072,1,1,0,0
205,61.03647691,978.9558736,36,Steel,Urban,0ne,49,6.359674689,23.89649532,19.4940782,2,0,1,0
206,1.91050811,439.4816042,44,HDPE,Rural,Replacement,90,9.981843703,26.41348671,45.20604852,1,1,0,1
207,11.04568274,821.6561516,4,Steel,Rural,Repair,79,5.658151762,8.084615895,5.372274474,3,3,1,1
208,66.68667514,491.077867,30,Steel,Urban,0ne,46,9.426777728,29.23733231,4.967523687,4,0,0,0
209,1.501096801,882.5803046,24,PVC,Urban,0ne,48,8.076248454,1.995332596,94.38433398,0,4,1,1
210,16.91999709,262.5917872,20,Cast Iron,Suburban,Replacement,92,8.162778828,24.59519311,81.25005464,4,3,0,1
211,55.32464515,952.9175594,46,Cast Iron,Urban,Repair,68,4.923639902,26.49822907,53.4527784,1,3,0,1
212,69.49762457,296.8945376,31,PVC,Urban,Repair,19,4.478880252,38.43286889,53.02035918,3,2,1,1
213,65.54416469,393.5984563,24,Cast Iron,Rural,Replacement,88,2.727296273,1.616083259,75.12670723,2,1,0,1
214,23.20266164,780.5730107,7,Cast Iron,Suburban,0ne,40,9.675471403,-5.314475998,34.82520938,4,4,0,1
215,71.50574291,454.3796274,26,Cast Iron,Urban,Replacement,6,9.634542512,3.151771114,76.42505831,1,0,0,0
216,24.48765966,647.3902391,13,HDPE,Rural,Replacement,80,7.723609609,-3.856890171,49.01582962,1,3,1,1
217,33.21457012,500.116151,8,PVC,Urban,Repair,96,3.666272049,-1.515284575,64.15382289,0,3,1,1
218,74.90264911,768.1329434,5,Steel,Urban,0ne,94,3.206615863,6.705725593,96.51811556,2,4,1,1
219,65.31365701,305.4981271,44,HDPE,Urban,0ne,63,9.897492181,10.69953734,47.66024019,1,3,1,1
220,85.07311764,152.6121885,13,Steel,Urban,Repair,35,1.598885336,35.18621129,42.42206131,2,1,0,1
221,66.10367634,369.9364577,29,PVC,Suburban,0ne,72,8.592078629,-0.219211425,90.66916822,3,0,1,1
222,57.26255173,526.8777984,20,PVC,Rural,0ne,61,4.199122004,38.5879488,90.355469,4,4,0,1
223,10.27380201,251.218047,14,PVC,Rural,Replacement,5,4.769827478,30.50766049,99.24945149,1,4,0,1
224,37.4038645,419.3175607,32,Cast Iron,Urban,Replacement,37,8.487798839,34.07356949,55.53543693,3,2,0,1
225,27.2550344,459.9847165,27,HDPE,Rural,Replacement,76,1.815427144,36.47219949,35.08189256,0,0,0,0
226,25.15497469,151.6526593,25,PVC,Urban,0ne,89,4.187527107,27.66205986,24.79861625,2,4,1,1
227,97.32804492,624.9765234,4,Steel,Rural,0ne,97,9.568218495,29.43899158,4.375539338,3,3,0,1
228,39.91667474,895.9090852,21,Cast Iron,Suburban,0ne,88,7.291593215,11.89091483,72.9461338,2,0,0,0
229,89.31260896,236.5686217,18,Cast Iron,Suburban,0ne,11,7.794452483,15.52251173,24.1141412,2,1,0,1
230,63.48272397,638.0272121,39,HDPE,Rural,Repair,99,7.817547709,36.62427134,61.05744764,1,4,1,1
231,79.68631905,698.2652844,15,HDPE,Urban,Repair,40,1.545130748,8.912795578,91.74264417,2,1,0,1
232,50.76107222,477.4012124,38,HDPE,Urban,0ne,65,2.828868339,-7.902646347,95.07114713,3,4,0,1
233,58.11348458,730.9878286,48,Cast Iron,Urban,Replacement,8,5.421369305,28.13771927,1.436603264,0,3,0,1
234,49.75925169,469.6583891,24,PVC,Urban,Replacement,87,4.313352092,18.65787559,32.39042811,1,2,0,1
235,20.32905579,554.1735592,8,Steel,Suburban,Repair,84,4.698210638,30.74379812,83.90042492,4,3,0,1
236,72.52275941,106.6177401,28,PVC,Urban,Repair,96,8.033026408,-6.222436669,54.10807533,0,1,1,1
237,28.79646388,722.5481027,21,Steel,Urban,0ne,11,1.132113116,21.06159952,80.94336461,3,0,1,0
238,3.407280677,695.2084111,16,PVC,Urban,0ne,71,6.944427337,2.3852944,85.479005,1,1,0,1
239,64.90175729,134.5607896,16,HDPE,Urban,0ne,58,1.000992086,35.16342972,44.81999577,2,2,0,1
